,Salary,Designation,JobCity,Gender,10percentage,10board,12graduation,12percentage,12board,CollegeID,CollegeTier,Degree,Specialization,collegeGPA,CollegeCityID,CollegeCityTier,CollegeState,GraduationYear,English,Logical,Quant,Domain,ComputerProgramming,ElectronicsAndSemicon,ComputerScience,MechanicalEngg,ElectricalEngg,TelecomEngg,CivilEngg,conscientiousness,agreeableness,extraversion,nueroticism,openess_to_experience,DOJ_year,DOJ_month,age,Job_Role
0,420000.0,senior quality engineer,bangalore,f,84.3,state borad,2007,95.8,state board,1141,2,B.Tech/B.E.,cse,78.0,1141,0,Andhra Pradesh,2011,515,585,525,0.6359787565,445,0,0,0,0,0,0,0.9737,0.8128,0.5269,1.3549,-0.4455,2012,6,34,Quality Engineer
1,500000.0,assistant manager,indore,m,85.4,cbse,2007,85.0,cbse,5807,2,B.Tech/B.E.,ece,70.06,5807,0,Madhya Pradesh,2012,695,610,780,0.960603252,0,466,0,0,0,0,0,-0.7335,0.3789,1.2396,-0.1076,0.8637,2013,9,34,Manager
2,325000.0,systems engineer,chennai,f,85.0,cbse,2010,68.2,cbse,64,2,B.Tech/B.E.,it,70.0,64,0,Uttar Pradesh,2014,615,545,370,0.4508765845,395,0,0,0,0,0,0,0.2718,1.7109,0.1637,-0.8682,0.6721,2014,6,31,System Engineer
3,1100000.0,senior software engineer,gurgaon,m,85.6,cbse,2007,83.6,cbse,6920,1,B.Tech/B.E.,cse,74.64,6920,1,Delhi,2011,635,585,625,0.9743961125,615,0,0,0,0,0,0,0.0464,0.3448,-0.344,-0.4078,-0.9194,2011,7,34,Software Engineer
4,200000.0,get,manesar,m,78.0,cbse,2008,76.8,cbse,11368,2,B.Tech/B.E.,ece,73.9,11368,0,Uttar Pradesh,2012,545,625,465,0.124502074,0,233,0,0,0,0,0,-0.881,-0.2793,-1.0697,0.09163,-0.1295,2014,3,32,Other
5,300000.0,system engineer,hyderabad,m,89.92,state borad,2010,87.0,state board,5086,2,B.Tech/B.E.,ece,76.32,5086,0,Karnataka,2014,560,555,620,-1.0,645,0,407,0,0,0,0,-0.3027,-0.6201,-2.2954,-0.7415,-0.8608,2014,6,31,System Engineer
6,300000.0,java software engineer,banglore,m,86.08,state borad,2010,67.5,state board,314,2,B.Tech/B.E.,cse,72.98,314,1,Karnataka,2014,590,435,380,0.3565364877,405,0,346,0,0,0,0,1.7081,-0.1054,-1.0379,-2.0092,-1.0872,2014,8,31,Software Engineer
7,400000.0,mechanical engineer,bangalore,m,92.0,cbse,2010,91.0,cbse,1757,1,B.Tech/B.E.,me,8.58,1757,0,Tamil Nadu,2016,545,555,590,0.8295845998,0,0,0,469,0,0,0,-0.0154,1.2114,0.01,0.1459,1.247,2014,7,31,Hardware Engineer
8,600000.0,electrical engineer,noida,m,90.0,cbse,2009,91.2,cbse,13,1,B.Tech/B.E.,eie,85.03,13,1,Delhi,2013,615,670,530,0.6944793277,735,366,0,0,0,0,0,-0.159,0.5454,-0.6048,-0.7415,-0.2859,2013,7,32,Hardware Engineer
9,230000.0,project engineer,kolkata,m,77.0,cbse,2010,72.2,cbse,8640,2,B.Tech/B.E.,ece,78.0,8640,1,West Bengal,2014,605,565,545,0.4935963873,385,324,0,0,0,0,0,-1.308,0.5454,-0.9122,0.9066,0.0973,2014,7,30,Hardware Engineer
10,600000.0,senior php developer,bangalore,m,88.6,state borad,2006,83.7,state board,403,2,B.Tech/B.E.,cse,74.9,403,0,Madhya Pradesh,2010,565,455,565,0.7656735812,485,0,0,0,0,0,0,0.0464,0.8128,0.0914,0.1798,0.0284,2011,4,34,Developer
11,450000.0,senior systems engineer,pune,m,81.0,cbse,2007,86.0,cbse,4441,1,B.Tech/B.E.,it,72.29,4441,0,Madhya Pradesh,2011,495,605,715,0.9682374959,605,0,0,0,0,0,0,-2.272,1.1248,0.8171,-0.4078,-0.4455,2011,8,34,System Engineer
12,270000.0,quality assurance engineer,pune,m,83.6,state borad,2008,69.83,state board,2665,2,B.Tech/B.E.,ece,60.0,2665,0,Maharashtra,2013,380,580,470,0.2294817549,0,266,0,0,0,206,0,0.1282,0.5454,-0.7585,-0.995,0.8637,2013,12,33,Quality Engineer
13,200000.0,qa analyst,gurgaon,m,60.8,cbse,2008,62.4,cbse,5232,2,B.Tech/B.E.,ece,60.0,5232,0,Haryana,2012,495,425,645,0.538386893,385,333,0,0,0,0,0,0.3555,0.0328,-0.598,-0.2902,-1.2354,2014,1,33,Analyst
14,300000.0,java software engineer,bangalore,m,81.2,state borad,2008,79.9,state board,64,2,B.Tech/B.E.,other,67.67,64,0,Uttar Pradesh,2013,395,565,645,-1.0,495,0,376,0,0,0,0,0.7027,0.7119,0.01,-0.995,0.6721,2013,7,31,Software Engineer
15,350000.0,network engineer,-1,f,69.54,icse,2008,64.43,icse,4501,2,B.Tech/B.E.,it,63.0,4501,0,Uttar Pradesh,2012,485,520,355,0.3084005829,355,0,0,0,0,0,0,1.7465,1.9048,0.672,-0.2902,1.2528,2013,8,34,Network Engineer
16,325000.0,product development engineer,noida,m,85.8,cbse,2010,74.8,cbse,13473,2,B.Tech/B.E.,ece,64.8,13473,0,Uttar Pradesh,2014,685,530,620,-1.0,515,0,0,0,0,0,0,1.1336,1.0449,0.7785,-0.6147,-0.8608,2014,9,31,Hardware Engineer
17,250000.0,associate software developer,gurgaon,m,60.8,cbse,2006,66.66,cbse,41,2,MCA,cse,74.74,41,1,Delhi,2013,465,585,515,0.9113952784,545,0,500,0,0,0,0,0.8463,1.0449,-1.0659,-1.6289,0.6721,2013,8,36,Developer
18,120000.0,data entry operator,gurgaon,m,65.0,state borad,2008,64.8,icse,184,2,B.Tech/B.E.,cse,69.54,184,0,Uttar Pradesh,2013,465,495,515,0.5632678237,425,0,0,0,0,0,0,-0.159,0.3789,1.3933,-0.2344,1.4386,2014,1,31,Other
19,325000.0,software engineer,pune,f,79.0,cbse,2008,62.2,cbse,7977,2,B.Tech/B.E.,cse,76.3,7977,0,Uttar Pradesh,2012,485,445,435,0.8646854134,525,0,0,0,0,0,0,0.8192,0.2668,-0.2714,-0.4078,-0.1295,2014,9,33,Software Engineer
20,320000.0,software engineer,bangalore,f,91.2,state borad,2006,84.63,state board,4437,2,B.Tech/B.E.,cse,78.15,4437,0,Karnataka,2010,455,535,445,0.6359787565,445,0,0,0,0,0,0,-0.1082,0.9688,0.5269,-0.2902,0.3444,2010,11,35,Software Engineer
21,200000.0,software engineer,-1,f,75.67,state borad,2007,74.4,state board,11368,2,B.Tech/B.E.,it,74.01,11368,0,Uttar Pradesh,2012,385,555,445,0.6359787565,445,0,0,0,0,0,0,-1.0355,-0.5913,-1.3599,0.06223,-1.3539,2012,8,32,Software Engineer
22,190000.0,developer,hyderabad,m,92.5,state borad,2009,95.2,state board,8232,2,B.Tech/B.E.,ece,76.0,8232,0,Telangana,2013,395,455,485,-1.0,455,0,0,0,0,0,0,-0.4463,-0.6201,-0.6048,0.7798,-2.7769,2013,10,32,Developer
23,180000.0,electrical project engineer,bangalore,m,70.0,state borad,2006,43.42,state board,11388,2,B.Tech/B.E.,ece,55.52,11388,1,Karnataka,2014,370,360,270,0.6493897148,0,356,0,0,0,0,0,-0.7335,-2.1186,-1.9881,-0.4879,-5.0763,2014,8,37,Hardware Engineer
24,335000.0,programmer analyst,hyderabad,m,88.0,state borad,2010,90.0,state board,9173,2,B.Tech/B.E.,cse,76.0,9173,1,Telangana,2014,625,555,630,0.3565364877,475,0,346,0,0,0,0,0.4155,0.8027,0.1357,-0.995,-0.6692,2014,6,30,Analyst
25,435000.0,systems analyst,gurgaon,f,86.8,cbse,2008,82.8,cbse,9019,2,B.Tech/B.E.,cse,78.0,9019,0,Haryana,2012,575,585,575,0.744758354,565,0,438,0,0,0,0,0.0464,1.2028,-0.9245,0.5323,-0.2875,2012,9,32,Analyst
26,345000.0,senior software engineer,bangalore,m,90.88,state borad,2006,82.5,state board,124,2,B.Tech/B.E.,cse,66.15,124,0,Orissa,2010,415,335,405,0.8841225116,535,333,0,313,0,0,320,0.8192,0.1888,-1.7954,1.8249,1.1343,2011,1,36,Software Engineer
